Instants (ms),15.000221944,15.533452028,16.000009731
Frame Indices,448.0,464.0,478.0
Media TimeStamp (ms),15.000221944,15.533452028,16.000009731
Gaze2dX (pixel),709.0585,771.6846,768.9753
Gaze2dY (pixel),477.8433,464.9735,453.1761
