2025-12-31 16:56:59,045 - EyeTracker_Console - DEBUG - Egalite des noms : True
2025-12-31 16:57:14,739 - EyeTracker_Console - INFO -
Nettoyage du dossier : /mnt/c/Users/maxim/Bureau/ProTech_Ubuntu/Outputs
2025-12-31 16:57:15,817 - matplotlib.pyplot - DEBUG - Loaded backend agg version v2.2.
2025-12-31 16:57:15,829 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-12-31 16:57:15,829 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-12-31 16:57:15,829 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-12-31 16:57:15,829 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2025-12-31 16:57:15,830 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-12-31 16:57:15,830 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-12-31 16:57:15,830 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-12-31 16:57:15,831 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-12-31 16:57:15,831 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-12-31 16:57:15,831 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2025-12-31 16:57:15,831 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-12-31 16:57:15,832 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-12-31 16:57:15,832 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-12-31 16:57:15,832 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-12-31 16:57:15,832 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-12-31 16:57:15,833 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-12-31 16:57:15,833 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-12-31 16:57:15,833 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-12-31 16:57:15,834 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-12-31 16:57:15,834 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-12-31 16:57:15,834 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-12-31 16:57:15,834 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/max/.cache/pypoetry/virtualenvs/protech-MF7Eh3If-py3.10/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
